UID,Year,Price,Type,Title,Links,Sub Heading
24,2023,$750 ,Room for Rent , Bukit Batok,https://rentinsingapore.com.sg/rooms-for-rent/ID679987,Blk 283 Bt Batok - $750 for 1 lady 
25,2023,"$1,000 ",Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679986,Blk 428 AMK - $1000 for 1 guy 
26,2023,"$1,000 ",Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679984,3 mins walk AMK mrt - 1 lady 
27,2023,$800 ,Room for Rent , Jurong East,https://rentinsingapore.com.sg/rooms-for-rent/ID679983,Blk 218 Jurong East - guys 
28,2023,$600 ,Room for Rent , Jurong East,https://rentinsingapore.com.sg/rooms-for-rent/ID679982,Blk 218 JE - for guys 
29,2023,"$1,000 ",Room for Rent , Choa Chu Kang,https://rentinsingapore.com.sg/rooms-for-rent/ID679981,Renovated room @ 284 CCK - $1000 for 2 pax 
30,2023,"$1,600 ",Room for Rent , Woodlands,https://rentinsingapore.com.sg/rooms-for-rent/ID679974,Master room 3mins to Admiralty MRT
31,2023,"$2,800 ",Whole Unit , Siglap,https://rentinsingapore.com.sg/rooms-for-rent/ID680021,Rare spacious East Coast 1-bedder loft walk-up apt with free wifi and greenery view
32,2023,$400 ,Room for Rent , Clementi,https://rentinsingapore.com.sg/rooms-for-rent/ID679996,Room for rental Ladies
33,2023,"$1,000 ",Room for Rent , Boon Lay,https://rentinsingapore.com.sg/rooms-for-rent/ID680016,Common room 
34,2023,$700 ,Room for Rent , Bedok,https://rentinsingapore.com.sg/rooms-for-rent/ID680013,Room for rental
35,2023,"$1,900 ",Room for Rent , River Valley,https://rentinsingapore.com.sg/rooms-for-rent/ID679999,Master bedroom with ensuite - large walk-up apartment
36,2023,$800 ,Room for Rent , Kallang,https://rentinsingapore.com.sg/rooms-for-rent/ID680006,"Common Room for Rent at Blk 45 Sims Drive, Near to Aljunied MRT. (FEMALE ONLY) NO AGENT FEE"
37,2023,"$1,300 ",Room for Rent , Kallang,https://rentinsingapore.com.sg/rooms-for-rent/ID679945,Common room in hdb near Kallang mrt 
38,2023,"$1,500 ",Room for Rent , Orchard,https://rentinsingapore.com.sg/rooms-for-rent/ID680000,master room at Somerset MRT
39,2023,"$1,400 ",Room for Rent , Serangoon,https://rentinsingapore.com.sg/rooms-for-rent/ID679909,Super Spacious Common Rm Not To Be Missed ! Bishan MRT / Bright Hill MRT $1400 For 2 Ladies / Couple
40,2023,$750 ,Room for Rent , Marsiling,https://rentinsingapore.com.sg/rooms-for-rent/ID667872,"Common room for 2 paxs, $750 each "
41,2023,"$1,300 ",Room for Rent , Marsiling,https://rentinsingapore.com.sg/rooms-for-rent/ID667873,Newly renovated unit common room with queen bed 
42,2023,"$1,000 ",Room for Rent , Hougang,https://rentinsingapore.com.sg/rooms-for-rent/ID600626,Spacious common room
43,2023,"$1,350 ",Room for Rent , Punggol,https://rentinsingapore.com.sg/rooms-for-rent/ID680037,Common room at 670a Edgefield plains for rent! Aircon wifi! 
44,2023,"$1,000 ",Room for Rent , Jurong West,https://rentinsingapore.com.sg/rooms-for-rent/ID680031,Common room at 944 Jurong West street 91 for rent! Aircon wifi! 
45,2023,"$1,000 ",Room for Rent , Choa Chu Kang,https://rentinsingapore.com.sg/rooms-for-rent/ID679944,"Common Room is available @ Blk 296C, Choa Chu Kang Avenue 2"
46,2023,"$1,100 ",Room for Rent , Geylang,https://rentinsingapore.com.sg/rooms-for-rent/ID679919,Geylang condo common room Dakota paya lebar mrt
47,2023,$800 ,Room for Rent , Woodlands,https://rentinsingapore.com.sg/rooms-for-rent/ID679920,Walk 4 minutes to mrt station
48,2023,"$1,400 ",Room for Rent , Toa Payoh,https://rentinsingapore.com.sg/rooms-for-rent/ID679921,218 Toa Payoh Lorong 8
49,2023,$900 ,Room for Rent , Hougang,https://rentinsingapore.com.sg/rooms-for-rent/ID680023,IMMEDIATE  VACANT 
50,2023,"$2,400 ",Whole Unit , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679884,"Blk 449, Ang Mo Kio "
51,2023,"$1,100 ",Room for Rent , Yishun,https://rentinsingapore.com.sg/rooms-for-rent/ID679903,Newly Renovated Condo Common Bedroom Available for 1pax @ Yishun Ave 6 
52,2023,"$1,000 ",Room for Rent , Katong,https://rentinsingapore.com.sg/rooms-for-rent/ID679899,Marine Terrace Master Bedroom 
53,2023,"$1,200 ",Room for Rent , Bukit Batok,https://rentinsingapore.com.sg/rooms-for-rent/ID679889,"Nice place to call home. Must be very clean, considerate and a good housemate"
54,2023,"$3,150 ",Whole Unit , Toa Payoh,https://rentinsingapore.com.sg/rooms-for-rent/ID679862,HDB Whole Unit @ 256 Kim Keat Avenue
55,2023,$780 ,Room for Rent , Woodlands,https://rentinsingapore.com.sg/rooms-for-rent/ID679864,Safety+Full Privacy-All Ladies. Freedom-No Owner. Cozy. Peaceful. Clean. Spacious yet Few People
56,2023,"$1,400 ",Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679871,Lovely & Comfy Common Room That's Ticking All Boxes. Not To Be Missed !! $1400 For 2 Ladies / Couple
57,2023,$750 ,Room for Rent , Tiong Bahru,https://rentinsingapore.com.sg/rooms-for-rent/ID679868,Common Room @ Depot Rd BLK 112A!
58,2023,$580 ,Room for Rent , Pasir Ris,https://rentinsingapore.com.sg/rooms-for-rent/ID679878,Common Room sharing @ Pasir Ris Street 11 BLK 186!
59,2023,"$1,100 ",Room for Rent , Serangoon,https://rentinsingapore.com.sg/rooms-for-rent/ID679872,MasterRoom @ Serangoon Ave 2 BLK 304!
60,2023,"$9,999 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679957,"Nice layout Penthouse 5Bedrooms + 1 Family beside CBD, Mrt, Clarke Quay, Aspen Heights"
61,2023,"$6,500 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679956,"Beside Orchard Road, 1Bedroom High Ceiling, 1bathroom, Approximately 904sqft, Near Somerset Mrt"
62,2023,"$6,000 ",Whole Unit , Changi,https://rentinsingapore.com.sg/rooms-for-rent/ID679955,4bedrooms at Hedges Park Condominium with Huge Patio and Nice Pool View
63,2023,"$9,999 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679954,2Bedroom with Attic + 2Bathroom + Good size Balcony Partial Furnished come with Private Lift
64,2023,"$9,999 ",Whole Unit , Bukit Timah,https://rentinsingapore.com.sg/rooms-for-rent/ID679953,"3 Storey Bungalow House with Private Lift, 5 Bedrooms En-Suite"
65,2023,"$9,999 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679952,"3bedrooms Loft with high ceiling, Good size Balcony, Lloyd Sixtyfive at Prime Location"
66,2023,"$9,999 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679951,"SkyPark @ Somerset, Bungalow in the Sky Duplex with Sky Garden 4bedrooms"
67,2023,"$9,999 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679950,"Prime Location, Lloyd Sixtyfive, 3bedrooms Loft with high ceiling, Good size Balcony"
68,2023,"$9,999 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679949,Penthouse 2Bedroom + 2Bathroom + 2 Good size Balcony at The Peak @ Cairnhill II
69,2023,"$1,000 ",Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679946,Renovated room @ Blk 428 AMK 
70,2023,"$3,500 ",Whole Unit , Bukit Merah,https://rentinsingapore.com.sg/rooms-for-rent/ID679947,"@Henderson Crescent, whole house or 3 common rooms"
71,2023,"$1,200 ",Room for Rent , Bukit Panjang,https://rentinsingapore.com.sg/rooms-for-rent/ID680019,MasterRoom @ Jelapang Road 510!
72,2023,"$1,600 ",Room for Rent , Queenstown,https://rentinsingapore.com.sg/rooms-for-rent/ID680015,Great Location with All amenities within reach
73,2023,"$3,000 ",Whole Unit , Geylang,https://rentinsingapore.com.sg/rooms-for-rent/ID680024,"1+ Study for rent , Guillemard edge 38 Lor 30 Geylang, Singapore 398371, "
74,2023,"$1,300 ",Room for Rent , Hougang,https://rentinsingapore.com.sg/rooms-for-rent/ID680020,Master room and common room at Evergreen Park for rent! Aircon wifi!
75,2023,"$1,200 ",Room for Rent , Paya Lebar,https://rentinsingapore.com.sg/rooms-for-rent/ID669706,room rent payalebar
76,2023,$900 ,Room for Rent , Jurong East,https://rentinsingapore.com.sg/rooms-for-rent/ID557920,"Cozy room > J East Blk 113, Mins to Chinese Garden & J.East MRT w Aircon, WIFI, Utility, Furnished"
77,2023,"$1,100 ",Room for Rent , Serangoon,https://rentinsingapore.com.sg/rooms-for-rent/ID680002,Walk to Serangoon Mrt
78,2023,$500 ,Room for Rent , Serangoon,https://rentinsingapore.com.sg/rooms-for-rent/ID680001,Shared common room with female tenant
79,2023,"$1,200 ",Room for Rent , Chinatown,https://rentinsingapore.com.sg/rooms-for-rent/ID679993,Renovated room @ Blk 1A Cantonment 
80,2023,"$1,200 ",Room for Rent , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679856,Blk 1A Cantonment Road - nice renovated room - $1200 for 1 lady (aircon + wifi) 
81,2023,"$1,200 ",Room for Rent , Tanjong Pagar,https://rentinsingapore.com.sg/rooms-for-rent/ID679855,Renovated room @ Pinnacle Duxton - $1200 for 1 lady 
82,2023,"$1,000 ",Room for Rent , Choa Chu Kang,https://rentinsingapore.com.sg/rooms-for-rent/ID679854,Blk 284 CCK - nice room - $1000 for couple (aircon + wifi + cooking) - walk to MRT 
83,2023,"$1,300 ",Room for Rent , Bukit Batok,https://rentinsingapore.com.sg/rooms-for-rent/ID679853,MASTER ROOM  @ BLK 136 Bt Batok - own attached bathroom 
84,2023,$800 ,Room for Rent , Tuas,https://rentinsingapore.com.sg/rooms-for-rent/ID679851,NO OWNER STAY 
85,2023,$800 ,Room for Rent , Jurong West,https://rentinsingapore.com.sg/rooms-for-rent/ID679850,NO OWNER STAY 
86,2023,$800 ,Room for Rent , Boon Lay,https://rentinsingapore.com.sg/rooms-for-rent/ID679848,NO OWNER STAY 
87,2023,"$1,600 ",Room for Rent , Bedok,https://rentinsingapore.com.sg/rooms-for-rent/ID679794,Master Bedroom Rental at Bedok North Road (Muslim House)
88,2023,$900 ,Room for Rent , Pasir Ris,https://rentinsingapore.com.sg/rooms-for-rent/ID679788,Common room for Rent. No Agent Fee!!!
89,2023,"$1,100 ",Room for Rent , Woodlands,https://rentinsingapore.com.sg/rooms-for-rent/ID679802,Common Room for Single Occupancy 
90,2023,"$2,200 ",Room for Rent , Potong Pasir,https://rentinsingapore.com.sg/rooms-for-rent/ID679772,The Woodleigh Residences Brand New Room For Rent
91,2023,"$1,600 ",Room for Rent , Potong Pasir,https://rentinsingapore.com.sg/rooms-for-rent/ID679773,The Woodleigh Residences Brand New Room For Rent
92,2023,$950 ,Room for Rent , Bedok,https://rentinsingapore.com.sg/rooms-for-rent/ID679779,Common room for rent
93,2023,"$2,000 ",Room for Rent , Serangoon,https://rentinsingapore.com.sg/rooms-for-rent/ID679778,2 Common Rooms For Rent! No Landlord 
94,2023,"$5,000 ",Whole Unit , Potong Pasir,https://rentinsingapore.com.sg/rooms-for-rent/ID679771,The Woodleigh Residences Brand New 2 Bedder For Rent
95,2023,"$4,200 ",Whole Unit , Queenstown,https://rentinsingapore.com.sg/rooms-for-rent/ID679777,One Bedroom Condo for Rent
96,2023,$850 ,Room for Rent , Woodlands,https://rentinsingapore.com.sg/rooms-for-rent/ID679768,Common Room for Rent at Blk 781B Woodlands Avenue 9. Own Bathroom! NO AGENT FEE
97,2023,"$1,400 ",Room for Rent , Toa Payoh,https://rentinsingapore.com.sg/rooms-for-rent/ID679754,Lovely & Comfy Common Room That's Ticking All Boxes. Not To Be Missed !! $1400 For 2 Ladies / Couple
98,2023,"$1,000 ",Room for Rent , Jurong West,https://rentinsingapore.com.sg/rooms-for-rent/ID679774,Common Room at Blk 671A Jurong West Street 65. (SINGLE PAX ONLY) NO AGENT FEE
99,2023,"$1,020 ",Room for Rent , Bedok,https://rentinsingapore.com.sg/rooms-for-rent/ID679780,Tanah Merah mrt single condo room for rent 
100,2023,"$1,000 ",Room for Rent , Punggol,https://rentinsingapore.com.sg/rooms-for-rent/ID679943,Near Meridian LRT! Common room at 122b edgedale plains for rent! Wifi available! 
101,2023,"$1,200 ",Room for Rent , Kallang,https://rentinsingapore.com.sg/rooms-for-rent/ID679940,Two common rooms at 14 upper boon keng road for rent! Aircon wifi! 
102,2023,$600 ,Room for Rent , Sembawang,https://rentinsingapore.com.sg/rooms-for-rent/ID679915,Common Room @ Sembawang Drive For Rent
103,2023,$850 ,Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679914,Common Room @ Ang Mo Kio For Rent
104,2023,"$1,800 ",Room for Rent , Paya Lebar,https://rentinsingapore.com.sg/rooms-for-rent/ID669759,New condo common room for rent
105,2023,$950 ,Room for Rent , Hougang,https://rentinsingapore.com.sg/rooms-for-rent/ID469609,"Cozy one room with aircon, wifi and utilities in convenient neighbourhood"
106,2023,"$1,200 ",Room for Rent , Paya Lebar,https://rentinsingapore.com.sg/rooms-for-rent/ID485199,033_NoAgentFeeâ¤NO OWNER CONDOâ¤5mins to MRT+BALCONY+Maid Svc+Wifi+Can Cook(Aljunied
107,2023,"$1,700 ",Room for Rent , Bukit Timah,https://rentinsingapore.com.sg/rooms-for-rent/ID679876,Master Bedroom Near Beauty World MRT FOR 1 PERSON ONLY
108,2023,"$1,100 ",Room for Rent , Jurong East,https://rentinsingapore.com.sg/rooms-for-rent/ID679867,Brand newly renovated home
109,2023,"$1,000 ",Room for Rent , Serangoon,https://rentinsingapore.com.sg/rooms-for-rent/ID679860,Common Room Blk 237 Serangoon Ave 3 @ $1000 (AC/WIFI)
110,2023,$800 ,Room for Rent , Woodlands,https://rentinsingapore.com.sg/rooms-for-rent/ID679803,Room for single female
111,2023,$550 ,Room for Rent , Toa Payoh,https://rentinsingapore.com.sg/rooms-for-rent/ID679834,One bed space for rent 
112,2023,$800 ,Room for Rent , Sengkang,https://rentinsingapore.com.sg/rooms-for-rent/ID679835,common room for rent
113,2023,"$1,900 ",Room for Rent , Boon Lay,https://rentinsingapore.com.sg/rooms-for-rent/ID679838,Master Bedroom with Bathtub- Wifi and Utility bill incuded.
114,2023,$900 ,Room for Rent , Serangoon,https://rentinsingapore.com.sg/rooms-for-rent/ID679841,2x Common Room Blk 409 Serangoon Central @ $900/$1300 (WIFI)
115,2023,$800 ,Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679843,Common Or Master Room Blk 126 Ang Mo Kio Ave 3 @ $800/$950 (WIFI)
116,2023,"$1,200 ",Room for Rent , Serangoon,https://rentinsingapore.com.sg/rooms-for-rent/ID679793,Master Room at Blk 304 Serangoon Avenue 2.Near to Lorong Chuan MRT.(MALE ONLY) NO AGENT FEE
117,2023,"$1,400 ",Room for Rent , Toa Payoh,https://rentinsingapore.com.sg/rooms-for-rent/ID679790,Super Spacious Common Rm Not To Be Missed ! Bishan MRT / Bright Hill MRT $1400 For 2 Ladies / Couple
118,2023,$900 ,Room for Rent , Tampines,https://rentinsingapore.com.sg/rooms-for-rent/ID679807,Tampines common room near MRT.
119,2023,"$2,900 ",Room for Rent , Novena,https://rentinsingapore.com.sg/rooms-for-rent/ID679800,Urban-Design City Suite 
120,2023,"$1,100 ",Room for Rent , Choa Chu Kang,https://rentinsingapore.com.sg/rooms-for-rent/ID669438,Master and Common Rooms at Blk 681 Choa Chu Kang Crescent.Near to Yew Tee MRT! NO AGENT FEE
121,2023,$750 ,Room for Rent , Woodlands,https://rentinsingapore.com.sg/rooms-for-rent/ID654314,Common Room at Blk 405 Woodlands Street 41. Near Marsiling MRT. NO AGENT FEE
122,2023,"$1,000 ",Room for Rent , Woodlands,https://rentinsingapore.com.sg/rooms-for-rent/ID664539,"Fully furnished Master bedroom available at Admiralty (Blk 770, woodlands Drive 60)"
123,2023,"$1,100 ",Room for Rent , Bukit Batok,https://rentinsingapore.com.sg/rooms-for-rent/ID679886,Common room at 358 Bukit Batok street 31 for rent! Aircon wifi! 
124,2023,$950 ,Room for Rent , Jurong West,https://rentinsingapore.com.sg/rooms-for-rent/ID679880,"Room near Boon Lay MRT, Bus Interchange, Jurong Point"
125,2023,$950 ,Room for Rent , Boon Lay,https://rentinsingapore.com.sg/rooms-for-rent/ID679879,"Room near Boon Lay MRT, Bus Interchange, Jurong Point"
126,2023,"$2,400 ",Whole Unit , Bukit Merah,https://rentinsingapore.com.sg/rooms-for-rent/ID309909,"143,Jln bk merah"
127,2023,$800 ,Room for Rent , Punggol,https://rentinsingapore.com.sg/rooms-for-rent/ID51023, Common Room @ Punggol Edgefield Plains
128,2023,$700 ,Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679858,Blk 926 Hougang - 1 lady (Wifi) - opposite Hougang 1
129,2023,$700 ,Room for Rent , Hougang,https://rentinsingapore.com.sg/rooms-for-rent/ID679857,Blk 926 Hougang - 1 lady (Wifi) - opposite Hougang 1
130,2023,"$1,950 ",Room for Rent , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679823,"Privacy common room, Above Tanjong Pagar Mrt, no owner for rent"
131,2023,"$1,900 ",Room for Rent , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679822,"No owner, Expat Common room at One Devonshire near Somerset Mrt"
132,2023,"$9,999 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679821,"PentHouse 3 storey with prive lift, Sky Terrace, Roof top pool, Jacuzzi 4 bedrooms + 1 Family area"
133,2023,"$9,999 ",Whole Unit , Bukit Timah,https://rentinsingapore.com.sg/rooms-for-rent/ID679820,"7bedrooms with Private Pool at Goodwood Crescent, near CBD/Town area"
134,2023,"$9,999 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679819,"Nice layout Penthouse 5Bedrooms + 1 Family beside CBD, Mrt, Clarke Quay, Aspen Heights"
135,2023,"$9,999 ",Whole Unit , Bukit Timah,https://rentinsingapore.com.sg/rooms-for-rent/ID679818,"5bdrm + Utility Cluster House at Goodwood Mews l, Pool, Jacuzzi"
136,2023,"$9,999 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679817,"PentHouse 2 storey, Duplex, Sky Terrace, Roof top pool, Jacuzzi, Out door patio , 4bedroom + Family"
137,2023,"$9,999 ",Whole Unit , Sentosa,https://rentinsingapore.com.sg/rooms-for-rent/ID679816,"Beautiful Sea & Pool view with nice huge patio , 4+1bedroom, The Coast"
138,2023,"$6,500 ",Whole Unit , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679815,"Beside Orchard Road, 1Bedroom High Ceiling, 1bathroom, Approximately 904sqft, Near Somerset Mrt"
139,2023,"$6,000 ",Whole Unit , Changi,https://rentinsingapore.com.sg/rooms-for-rent/ID679814,4bedrooms at Hedges Park Condominium with Huge Patio and Nice Pool View
140,2023,$600 ,Room for Rent , Jurong East,https://rentinsingapore.com.sg/rooms-for-rent/ID679760,Blk 218 Jurong East - for guy 
141,2023,"$1,000 ",Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679759,Blk 428 AMK - $1000 for 1 guy - walk to MRT 
142,2023,$750 ,Room for Rent , Jurong West,https://rentinsingapore.com.sg/rooms-for-rent/ID461234,Common Room at Jurong West  5minutes walk to Boon Lay MRT
143,2023,"$1,000 ",Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679753,Renovated room @ 1 guy - walk to MRT 
144,2023,"$1,300 ",Room for Rent , Bedok,https://rentinsingapore.com.sg/rooms-for-rent/ID669185,Newly renovated master bedroom at Bedok
145,2023,$900 ,Room for Rent , Sengkang,https://rentinsingapore.com.sg/rooms-for-rent/ID452857,Looking For Tenant for BIG Common room
146,2023,$550 ,Room for Rent , Jurong West,https://rentinsingapore.com.sg/rooms-for-rent/ID679644,Blk 651A Common room sharing with Indian guys 
147,2023,"$1,700 ",Room for Rent , Katong,https://rentinsingapore.com.sg/rooms-for-rent/ID679638,Rare Huge Master bedroom and Common room for rent in KATONG/ MARINE PARADE / JOOCHIAT
148,2023,$900 ,Room for Rent , Boon Lay,https://rentinsingapore.com.sg/rooms-for-rent/ID679646,Nice Room for Rent
149,2023,"$4,400 ",Whole Unit , Choa Chu Kang,https://rentinsingapore.com.sg/rooms-for-rent/ID679716,5i CCK Blk 767 
150,2023,"$1,900 ",Whole Unit , Bedok,https://rentinsingapore.com.sg/rooms-for-rent/ID679806,Studio Apart in the East
151,2023,"$1,000 ",Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679842,"Renovated room @ Blk 428 AMK - $1,000 /1 guy (Aircon + WiFi) "
152,2023,"$1,000 ",Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679833,Blk 428 Ang Mo Kio - renovated room - $1000 for 1 guy - walk to AMK mrt 
153,2023,$850 ,Room for Rent , Bukit Batok,https://rentinsingapore.com.sg/rooms-for-rent/ID679831,"Female environment, Privacy, Nr Bt Batok/ Bt Gombak Mrt, Renovated Common rm, Near West Mall"
154,2023,$900 ,Room for Rent , Rochor,https://rentinsingapore.com.sg/rooms-for-rent/ID679830,"2mins walk to Jalan Besar Mrt, Common room at Veerasamy Road, Near Mrt, Bugis, Foods etc..."
155,2023,$800 ,Room for Rent , Bukit Panjang,https://rentinsingapore.com.sg/rooms-for-rent/ID679829,"Female environment, Nr Bt Panjang Mrt, Renovated Common rm, Nr Hillion Mall/ Bukit Panjang Plaza"
156,2023,"$1,500 ",Room for Rent , Pasir Ris,https://rentinsingapore.com.sg/rooms-for-rent/ID679827,"Female environment, Common rm with attached bathroom at D'Nest, 7mins walk Mrt"
157,2023,"$1,450 ",Room for Rent , Pasir Ris,https://rentinsingapore.com.sg/rooms-for-rent/ID679826,"Female environment, Nice Pool view Common room at D'Nest, 7mins walk to Pasir Ris Mrt/ Shopping Mall"
158,2023,"$2,600 ",Room for Rent , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679825,"Privacy, no owner, Huge Master room at UE Square, Near Fort Canning Mrt"
159,2023,"$3,300 ",Room for Rent , CBD,https://rentinsingapore.com.sg/rooms-for-rent/ID679824,"No owner, Huge Master rm w good size balcony & attached bathrm, Video Tour available on request"
160,2023,"$2,400 ",Room for Rent , Orchard,https://rentinsingapore.com.sg/rooms-for-rent/ID669445,Newly Renovated Rooms with Ensuite - Now Open for Applications - Orchard/River Valley 
161,2023,"$1,900 ",Room for Rent , Orchard,https://rentinsingapore.com.sg/rooms-for-rent/ID669450,Luxuriously Renovated Rooms with Ensuite - Now Open for Applications - Orchard/River Valley
162,2023,"$1,900 ",Room for Rent , Orchard,https://rentinsingapore.com.sg/rooms-for-rent/ID669451,Luxuriously Renovated Rooms with Ensuite - Now Open for Applications - Orchard/River Valley
163,2023,$700 ,Room for Rent , Punggol,https://rentinsingapore.com.sg/rooms-for-rent/ID679587,Room for rent at Punggol 
164,2023,$500 ,Room for Rent , Ang Mo Kio,https://rentinsingapore.com.sg/rooms-for-rent/ID679582,ANG MO KIO - COMMON ROOM SHARE 2 - Furnished!
165,2023,$700 ,Room for Rent , Punggol,https://rentinsingapore.com.sg/rooms-for-rent/ID679592,Room for rent at Punggol 
166,2023,"$1,300 ",Room for Rent , Balestier,https://rentinsingapore.com.sg/rooms-for-rent/ID679570,Common room for rent in whampoa
